Title,Artist,Path,Emotion1,Emotion2,Uri,Energy, Valence,Tempo
BBYODA,Goshfather,01 BBYODA.mp3,Anger,N/A,spotify:track:0QxEZtW1hS8dElWNjiKhBe,0.767,0.746,114.034
Positive Vibes,Evrywhr,01 Positive Vibes.mp3,Neutral,Surprise,spotify:track:3D7fDH2DCGdtPvs2wwDkuK,0.316,0.352,92.018
Thinking Of You,Paul Cesar,01 Thinking Of You.mp3,Happy,Fear,spotify:track:7AVAYDTUDaFBi5uOseGVQ2,0.675,0.138,121.977
Show Me,BRT,01 Show Me.mp3,Anger,Fear,spotify:track:1us1Lqn27nRY6vRQ7qBw8v,0.762,0.218,126.02
Bambi,Dukus,01 Bambi.mp3,Happy,Surprise,spotify:track:3xSa4DchDx30gu8HgddWQy,0.638,0.639,90.051
500 PS,Bonez MC,03 500 PS.mp3,Anger,Fear,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,0.924,0.836,139.976
Satisfya,Imran Khan,01 Satisfya.mp3,Happy,Fear,spotify:track:6HGoVbCUr63SgU3TjxEVj6,0.652,0.803,163.879
Big Plans,Why Don't We,01 Big Plans.mp3,Sad,Sad,spotify:track:448hSkxDU1sUQQauBWZVcC,0.604,0.651,75.014
Fake A Smile,Alan Walker,01 Fake A Smile.mp3,Sad,Surprise,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH,0.553,0.252,149.877
I Forgot That You Existed,Taylor Swift,01 I Forgot That You Existed.mp3,Neutral,Fear,spotify:track:43rA71bccXFGD4C8GOpIlN,0.316,0.541,92.875
Sucker,Jonas Brothers,01 Sucker.mp3,Happy,Surprise,spotify:track:22vgEDb5hykfaTwLuskFGD,0.734,0.952,137.958
Let Me Move You - From the Netflix film Work It,Sabrina Carpenter,01 Let Me Move You - From the Netflix film Work It.mp3,Sad,N/A,spotify:track:0roOLcll6SSTYZwsQFmXqP,0.628,0.772,114.556
Be Okay (with HRVY),R3HAB,01 Be Okay (with HRVY).mp3,Sad,Sad,spotify:track:4ztw0mBC6VBiLV79yRHDQW,0.558,0.618,100.066
Keep You Mine,NOTD,01 Keep You Mine.mp3,Anger,Sad,spotify:track:0OJN2A3Qyvd7pwSF0AIteC,0.788,0.845,135.991
Watermelon Sugar,Harry Styles,01 Watermelon Sugar.mp3,Anger,Fear,spotify:track:6UelLqGlWMcVH1E5c4H7lY,0.816,0.557,95.39
You Need To Calm Down,Taylor Swift,01 You Need To Calm Down.mp3,Happy,Happy,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.671,0.714,85.026
Good Vibes,HRVY,01 Good Vibes.mp3,Anger,Happy,spotify:track:53kWAAfx7IopXRa31MQHB8,0.877,0.762,99.988
Drown (feat. Clinton Kane),Martin Garrix,01 Drown (feat_ Clinton Kane).mp3,Happy,Fear,spotify:track:4RVtBlHFKj51Ipvpfv5ER4,0.739,0.363,120.077
Love Me Less (feat. Quinn XCII),MAX,01 Love Me Less (feat_ Quinn XCII).mp3,Anger,Fear,spotify:track:2tOOcDDYkh0PSjr6GwPEAJ,0.856,0.771,145.034
Rescue Me,OneRepublic,01 Rescue Me.mp3,Sad,Fear,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,0.605,0.64,121.049
You (with Marshmello & Vance Joy),benny blanco,01 You (with Marshmello _ Vance Joy).mp3,Sad,Sad,spotify:track:1GkHyypTFkUf0QQKwYoXH4,0.563,0.305,103.116
Who's Laughing Now,Ava Max,01 Who_s Laughing Now.mp3,Happy,Sad,spotify:track:1Pmp486RrLRkaEkE3HFHXP,0.641,0.505,184.021
I Found You,Cash Cash,01 I Found You.mp3,Anger,Fear,spotify:track:3wYOGJYD31sLRmBgCvWxa4,0.761,0.472,129.916
On Me (feat. Ava Max),Thomas Rhett,02 On Me (feat_ Ava Max).mp3,Happy,Sad,spotify:track:7k6tAZp4m93oswrPqSfBbc,0.721,0.594,177.918
Smile,Katy Perry,01 Smile.mp3,Anger,Happy,spotify:track:3DXdjHnePKnh6oXw2ZgGSl,0.912,0.749,98.025
Savage Love (Laxed - Siren Beat),Jawsh 685,01 Savage Love (Laxed - Siren Beat).mp3,Sad,Fear,spotify:track:1xQ6trAsedVPCdbtDAmk0c,0.481,0.761,150.076
Cover Me In Sunshine,P!nk,01 Cover Me In Sunshine.mp3,Sad,Fear,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,0.594,0.314,159.702
Friends,Ella Henderson,04 Friends.mp3,Sad,Surprise,spotify:track:18RdChpgvaAO7GXDjLks2B,0.537,0.453,97.056
YES,BEN & TAN,01 YES.mp3,Sad,Surprise,spotify:track:1nAvS4GbkxR7iISU5ZfLPf,0.583,0.525,91.899
Dive,Hot Shade,01 Dive.mp3,Anger,Fear,spotify:track:0Npijoc6ZcUe1devUugKvI,0.787,0.409,123.978
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,01 Summer Feelings (feat_ Charlie Puth) - From _SCOOB!_ The Album.mp3,Happy,N/A,spotify:track:49dFIRQCQxPWgoH0m38XQ5,0.686,0.7,115.982
Forever Young,John De Sohn,01 Forever Young.mp3,Sad,Happy,spotify:track:0343bYQtSfznf6v90jRLRK,0.621,0.584,121.98
Upside Down,JVKE,01 Upside Down.mp3,Sad,Fear,spotify:track:5TpvLkESnw1g9wDz52efeO,0.501,0.459,120.038
Happy Kids,John De Sohn,01 Happy Kids.mp3,Happy,Happy,spotify:track:3nVJ4tGeLFR6HUiz3e7qAe,0.649,0.672,124.073
all the kids are depressed,Jeremy Zucker,01 all the kids are depressed.mp3,Neutral,Sad,spotify:track:75ls0gurX68lUmMjE7QcsE,0.437,0.707,103.861
death bed (coffee for your head),Powfu,01 death bed (coffee for your head).mp3,Neutral,Fear,spotify:track:7eJMfftS33KTjuF7lTsMCx,0.431,0.348,144.026
Like Strangers Do,AJ Mitchell,01 Like Strangers Do.mp3,Neutral,Fear,spotify:track:0Wc6cbF38a90b8wov9V63F,0.242,0.694,98.219
Das All,Allocai,01 Das All.mp3,Anger,Fear,spotify:track:6kMYCJHXWEbwAyxqcqtjz5,0.869,0.48,177.955
